maaltijdtype,naam,calorieen,eiwit,koolhydraten,vet,vezels,ingredienten,bereidingstijd_min,bereidingsmethode,bereiding
Avondeten,Spaghetti Bolognese,650.0,35.0,75.0,22.0,8.0,"75g spaghetti, 150g rundergehakt, 200g tomatensaus, 50g ui, 50g wortel",30.0,Kookpan,1. Kook de spaghetti. 2. Bak gehakt rul. 3. Voeg groenten en saus toe. 4. Laat 15 min sudderen. 5. Meng met pasta.,
Avondeten,Kip Teriyaki met Rijst,540.0,42.0,68.0,12.0,4.0,"150g kipfilet, 70g rijst, 150g roerbakgroente, 30ml teriyakisaus",25.0,Koekenpan,1. Kook rijst. 2. Bak kip gaar. 3. Voeg groenten toe. 4. Roer saus erdoor. 5. Serveer met rijst.,
Avondeten,Zalm met Broccoli en Aardappelen,600.0,38.0,45.0,28.0,7.0,"150g zalm, 200g aardappelen, 200g broccoli",30.0,Oven,1. Verwarm oven op 200C. 2. Bak zalm 15 min. 3. Kook aardappelen. 4. Stoom broccoli. 5. Serveer samen.,
Avondeten,Vegetarische Chili Sin Carne,520.0,22.0,70.0,18.0,14.0,"200g kidneybonen, 150g tomatenblokjes, 100g paprika, 50g ui, 70g rijst",35.0,Kookpan,1. Fruit ui. 2. Voeg paprika toe. 3. Voeg bonen en tomaat toe. 4. Laat 20 min sudderen. 5. Serveer met rijst.,
Avondeten,Wraps met Kip en Groente,560.0,36.0,55.0,20.0,6.0,"2 wraps, 150g kip, 100g paprika, 50g mais, 30g yoghurt",20.0,Koekenpan,1. Bak kip. 2. Voeg groente toe. 3. Verwarm wraps. 4. Vul en rol op.,
Avondeten,Bami Goreng,630.0,28.0,85.0,18.0,5.0,"100g mie, 150g kip, 150g roerbakgroente, 20ml sojasaus",25.0,Wok,1. Kook mie. 2. Bak kip. 3. Voeg groente toe. 4. Meng mie en saus erdoor.,
Avondeten,Nasi met Ei en Kip,610.0,35.0,80.0,17.0,4.0,"75g rijst, 150g kip, 1 ei, 150g groente",25.0,Wok,1. Kook rijst. 2. Bak kip. 3. Voeg groente toe. 4. Roer ei erdoor.,
Avondeten,Lasagne Bolognese,720.0,40.0,65.0,30.0,6.0,"3 lasagnebladen, 150g gehakt, 200g tomatensaus, 40g kaas",45.0,Oven,1. Bak gehakt. 2. Bouw lagen op. 3. Bestrooi met kaas. 4. Bak 30 min.,
Avondeten,Couscous met Gegrilde Groenten,500.0,18.0,75.0,14.0,9.0,"75g couscous, 200g groente, 30g feta",20.0,Pan/Oven,1. Bereid couscous. 2. Grill groenten. 3. Meng met feta.,
Avondeten,Shoarma met Pitabrood,700.0,38.0,60.0,32.0,5.0,"150g shoarma, 2 pitabroodjes, 100g sla, 40g knoflooksaus",20.0,Koekenpan,1. Bak shoarma. 2. Verwarm pita. 3. Vul met sla en saus.,
Avondeten,Aardappelpuree met Worst en Sperziebonen,680.0,32.0,55.0,35.0,7.0,"200g aardappelen, 1 rookworst, 200g sperziebonen",30.0,Kookpan,1. Kook aardappelen. 2. Maak puree. 3. Kook bonen. 4. Verwarm worst.,
Avondeten,Thaise Groene Curry,590.0,34.0,50.0,28.0,6.0,"150g kip, 200ml kokosmelk, 150g groente, 70g rijst",30.0,Wok,1. Kook rijst. 2. Bak kip. 3. Voeg curry en kokosmelk toe. 4. Laat sudderen.,
Avondeten,Pasta Pesto met Kip,640.0,38.0,70.0,22.0,5.0,"75g pasta, 150g kip, 40g pesto, 50g tomaat",20.0,Kookpan,1. Kook pasta. 2. Bak kip. 3. Meng pesto en tomaat erdoor.,
Avondeten,Hamburger met Zoete Aardappel Friet,750.0,45.0,65.0,38.0,8.0,"1 burger, 1 broodje, 250g zoete aardappel",30.0,Oven,1. Bak friet 25 min. 2. Bak burger. 3. Serveer op broodje.,
Avondeten,Pokebowl Zalm,620.0,36.0,70.0,20.0,6.0,"75g rijst, 150g zalm, 100g komkommer, 50g avocado",20.0,Kom,1. Kook rijst. 2. Snijd zalm. 3. Bouw bowl op.,
Avondeten,Ratatouille met Kip,540.0,35.0,30.0,28.0,9.0,"150g kip, 250g groente, 100g tomaat",30.0,Stoofpan,1. Bak kip. 2. Voeg groente toe. 3. Laat 20 min stoven.,
Avondeten,Macaroni met Ham en Kaas,670.0,32.0,85.0,22.0,4.0,"75g macaroni, 100g ham, 40g kaas, 150g saus",25.0,Kookpan,1. Kook pasta. 2. Voeg ham en saus toe. 3. Bestrooi met kaas.,
Avondeten,Vissticks met Spinazie en Aardappelen,600.0,28.0,70.0,22.0,6.0,"3 vissticks, 200g aardappelen, 200g spinazie",25.0,Oven/Kookpan,1. Bak vissticks. 2. Kook aardappelen. 3. Roerbak spinazie.,
Avondeten,Gnocchi met Tomatensaus,580.0,18.0,85.0,16.0,7.0,"250g gnocchi, 200g tomatensaus, 30g parmezaan",20.0,Kookpan,1. Kook gnocchi. 2. Verwarm saus. 3. Meng en bestrooi.,
Avondeten,Burrito met Rundergehakt,690.0,40.0,75.0,25.0,8.0,"1 wrap, 150g gehakt, 100g bonen, 50g mais",25.0,Koekenpan,1. Bak gehakt. 2. Voeg bonen toe. 3. Vul wrap en rol op.,
Avondeten,Kip Schnitzel met Aardappelsalade,720.0,42.0,60.0,36.0,6.0,"1 schnitzel, 250g aardappelsalade",20.0,Koekenpan,1. Bak schnitzel. 2. Serveer met salade.,
Avondeten,Risotto met Champignons,560.0,20.0,75.0,18.0,5.0,"75g risottorijst, 150g champignons, 30g parmezaan",35.0,Kookpan,1. Fruit champignons. 2. Voeg rijst toe. 3. Voeg bouillon geleidelijk toe.,
Avondeten,Tortellini met Spinazie,630.0,25.0,80.0,20.0,6.0,"250g tortellini, 150g spinazie, 100ml room",20.0,Kookpan,1. Kook tortellini. 2. Verwarm spinazie en room. 3. Meng samen.,
Avondeten,Kipsaté met Pindasaus,650.0,45.0,45.0,30.0,4.0,"150g kip, 30g pindasaus, 70g rijst",25.0,Grillpan,1. Grill kip. 2. Kook rijst. 3. Serveer met saus.,
Avondeten,Stamppot Boerenkool,700.0,30.0,60.0,38.0,10.0,"200g aardappelen, 200g boerenkool, 1 rookworst",30.0,Kookpan,1. Kook aardappelen en boerenkool. 2. Stamp. 3. Serveer met worst.,
Avondeten,Pasta Carbonara,720.0,30.0,80.0,30.0,3.0,"75g pasta, 100g spek, 1 ei, 30g kaas",20.0,Kookpan,1. Kook pasta. 2. Bak spek. 3. Meng ei en kaas erdoor.,
Avondeten,Zalm Teriyaki met Noedels,610.0,38.0,70.0,18.0,5.0,"150g zalm, 100g noedels, 150g groente",25.0,Wok,1. Kook noedels. 2. Bak zalm. 3. Voeg groente en saus toe.,
